Building Code,E (kWh),G(therms),O(gallon)
500,"9,437,760.00","1,718,131.00",
501,,"16,406.00",
504,"10,685.00",,"3,385.40"
505,,"1,020.00",
506,"12,572.00","1,348.00",
508,"4,331.00","7,028.00",
509,"1,120,900.00","63,950.00",
510,"34,703.00",313,
512,"21,029.00","10,422.00",
513,"11,452.00","3,878.00",
514,"53,107.00","6,689.00",
515,"43,825.00","8,797.00","4,439.50"
516,"54,294.00","3,105.00",803.9
518,"743,930.00","60,668.00",
519,"25,187.00","19,723.00",
520,"102,973.00","5,802.00",
521,"8,007.00","2,253.00",
522,"687,760.00","62,293.00",
523,"30,960.00",,
524,"83,680.00","13,100.00",
525,"16,021.00",,
526,"41,120.00",,"2,920.30"
527,"21,828.00","6,272.00",
528,"25,521.00","3,226.00",
529,"12,043.00",,"2,585.50"
530,"125,644.00","1,009.00",
531,"64,472.00","3,340.00","4,519.40"
532,"13,263.00","2,063.00",
533,"20,006.00","9,206.00",
534,"46,197.00","6,427.00",
535,"17,709.00","2,119.00",
536,"31,903.00","2,227.00","3,987.80"
537,"20,913.00","3,449.00",
538,"18,911.00","3,637.00",
539,"213,520.00",873,
540,"34,309.00","1,478.00",
541,"29,591.00","2,017.00",
542,"109,680.00",,
543,"18,884.00",970,"2,291.60"
544,"16,928.00",3,"2,310.70"
545,"57,600.00",,
546,"17,089.00",903,
547,"18,241.00","3,282.00",
548,"81,040.00",,
551,"182,694.00",,
552,"38,706.00","4,593.00",
553,"18,876.00",,"3,545.60"
554,"37,392.00","1,471.00","5,118.00"
555,"19,418.00",,
556,"13,640.00","3,617.00",
557,"33,704.00","1,729.00",
558,"32,031.00","2,272.00",
560,"21,765.00","4,414.00",
563,"34,569.00",,
564,"2,547.00","1,083.00",
565,"22,683.00","5,886.00",
568,"5,555.00",,
571,"257,400.00","6,833.00",
572,"15,305.00","2,909.00",
573,"24,960.00","7,694.00",
574,"29,445.00","4,582.00",
575,"539,120.00","36,883.00",
576,"12,479.00",7,"2,962.70"
577,"162,240.00","24,873.00",
578,"9,595.00",,
579,,654,
581,"1,190,920.00","43,141.00",
582,"684,744.00","35,951.00",
583,"30,960.00",,"1,609.00"
584,"185,859.00","75,777.00",
586,"163,140.00","8,068.00",
587,"3,173,820.00","108,287.00",
589,"17,758.00","3,159.00",
590,"23,360.00","5,106.00",
592,"31,726.00",,"1,428.50"
593,"23,292.00","4,281.00",
594,"145,407.00","8,381.00",
595,"3,578,880.00","136,025.00",
596,"921,960.00","60,675.00",
597,"49,680.00","42,985.00",
598,"112,393.00",290,
599,,"7,365.00",
600,,"20,185.00",
601,"9,216.00","2,808.00",
602,"402,240.00",,
603,"695,660.00","61,152.00",
604,"14,528.00","4,674.00",
605,"1,675,770.00",,
607,,"38,285.00",
608,"5,396,641.00","98,174.00",
610,938,"18,441.00",
612,"55,680.00","10,699.00",
613,"55,040.00","4,862.00",
617,"16,000.00","2,823.00",
618,"231,867.00","61,891.00",
621,,"8,475.00",
623,"652,640.00","57,041.00",
625,"1,312,100.00","44,474.00",
626,"1,926,480.00",,
627,"1,404,470.00","20,325.00",
628,"155,555.00","2,708.00",
629,"600,960.00",-,
630,"461,120.00","9,709.00",
632,,"1,389.00",
635,"388,306.00","11,613.00",
636,"255,280.00","23,779.00",
637,,-,
643,"8,723,520.00","185,538.00",
646,"185,000.00","11,417.00","5,277.80"
647,"11,136,960.00","461,546.00",
649,"413,676.00","8,182.00",
650,"345,640.00",-,
652,"1,239,400.00",31,
653,"17,708.00","2,998.00",
654,"20,554.00",,
655,"30,605.00",,
657,"733,836.00","27,385.00",
658,"38,490.00","6,128.00",
659,"22,826.00","2,276.00",
660,"18,792.00","3,939.00",
662,"9,382.00","3,321.00",
664,"5,983.00",,
665,"46,654.00","1,541.00","5,199.10"
666,"24,680.00","6,687.00",
667,"15,256.00",,"2,508.10"
668,"70,770.00","15,297.00",
669,"2,848.00","3,019.00",
670,"14,114.00",697,"1,855.00"
671,"29,701.00","3,006.00",
676,"90,400.00","25,291.00",
677,"193,320.00","12,196.00",
678,"26,663.00",988,"4,840.30"
679,"41,459.00",128,"6,918.40"
680,"15,219.00","2,693.00",
682,"18,593.00","2,190.00",
683,,47,"4,162.00"
684,"1,356,560.00","176,831.00",
690,,"8,200.00",
695,"60,160.00","4,723.00",
696,"14,313.00","2,620.00",
697,,246,"1,599.80"
698,"111,360.00","11,337.00",
700,"11,312.00","3,135.00",
701,"76,560.00","6,235.00",
702,"22,023.00","3,377.00",
706,"29,321.00","1,836.00",
707,"41,960.00","5,750.00",
709,"38,353.00","3,917.00","2,283.90"
710,"17,739.00",37,"4,356.30"
711,"35,034.00",891,"3,635.90"
712,"76,480.00","7,927.00","2,362.30"
713,"217,200.00","6,718.00",
714,"2,624,800.00","105,034.00",
716,"37,476.00","2,016.00","5,285.70"
718,"9,700.00","12,346.00",
720,"6,919.00","1,814.00",
721,"22,720.00","1,431.00",
723,,"28,805.00",
